Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf



CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"87285","NO88SE 43","Wine Cove","Cropmark(S) (Period Unknown)","388000","781800","ABERDEENSHIRE","KINCARDINESHIRE","DUNNOTTAR","NO 880 818","http://canmore.org.uk/site/87285",
"87286","NO79NE 45","Nether Balfour","Enclosure(S) (Period Unassigned)","378170","796870","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 7817 9687","http://canmore.org.uk/site/87286",
"87287","NO89NW 35","Gallow Hill","Enclosure(S) (Period Unassigned)","380480","797730","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 8048 9773","http://canmore.org.uk/site/87287",
"87291","NO67SE 23","Bogmuir","Pit Circle (Prehistoric)","365500","770830","ABERDEENSHIRE","KINCARDINESHIRE","FETTERCAIRN","NO 6550 7083","http://canmore.org.uk/site/87291",
"87294","NO77NW 58","East Cairnbeg","Enclosure (Period Unassigned)","370000","777500","ABERDEENSHIRE","KINCARDINESHIRE","FORDOUN","NO 700 775","http://canmore.org.uk/site/87294",
"87295","NO78SW 16","Paldyfair Wood","Bank (Earthwork)(S) (Period Unassigned)","373300","781100","ABERDEENSHIRE","KINCARDINESHIRE","FORDOUN","NO 733 811","http://canmore.org.uk/site/87295",
"87296","NO78SW 15","Cowden","Earthwork (Period Unassigned)","374780","782490","ABERDEENSHIRE","KINCARDINESHIRE","GLENBERVIE","NO 7478 8249","http://canmore.org.uk/site/87296",
"87297","NO78SW 14","White Hill","Building(S) (Period Unassigned)","374910","782630","ABERDEENSHIRE","KINCARDINESHIRE","GLENBERVIE","NO 7491 8263","http://canmore.org.uk/site/87297",
"87298","NO78SE 37","Droop Hill","Rig And Furrow (Medieval)","375400","781200","ABERDEENSHIRE","KINCARDINESHIRE","GLENBERVIE","NO 754 812","http://canmore.org.uk/site/87298",
"87299","NO78SE 38","Droop Hill","Rig And Furrow (Medieval)","376000","781400","ABERDEENSHIRE","KINCARDINESHIRE","GLENBERVIE","NO 760 814","http://canmore.org.uk/site/87299",
"87340","NO87SE 14","Crowhillock","Enclosure(S) (Period Unassigned)(Possible), Linear Feature(S) (Period Unassigned)","385000","774600","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 850 746","http://canmore.org.uk/site/87340",
"87341","NO87NE 28","Roadside Of Catterline","Enclosure (Period Unassigned)","386110","779140","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 8611 7914","http://canmore.org.uk/site/87341",
"87342","NO87NE 29","Roadside Of Catterline","Ring Ditch (Period Unassigned)(Possible)","386200","779200","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 862 792","http://canmore.org.uk/site/87342",
"87343","NO87NE 30","Denhead","Field Boundary(S) (Period Unassigned), Pit(S) (Period Unassigned), Rectilinear Enclosure (Period Unassigned)","386400","779800","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 8640 7980","http://canmore.org.uk/site/87343",
"87346","NO77SW 58","Upperton","Enclosure (Period Unassigned)","374000","773000","ABERDEENSHIRE","KINCARDINESHIRE","LAURENCEKIRK","NO 740 730","http://canmore.org.uk/site/87346",
"87347","NO77SW 59","Upperton","Enclosure (Period Unassigned)","374100","773200","ABERDEENSHIRE","KINCARDINESHIRE","LAURENCEKIRK","NO 741 732","http://canmore.org.uk/site/87347",
"87403","NO66NE 78","Balmakewan","Enclosure (Period Unassigned)","367140","766500","ABERDEENSHIRE","KINCARDINESHIRE","MARYKIRK","NO 6714 6650","http://canmore.org.uk/site/87403",
"87404","NO66NE 79","Balmakewan","Rig And Furrow (Medieval)","367200","766600","ABERDEENSHIRE","KINCARDINESHIRE","MARYKIRK","NO 672 666","http://canmore.org.uk/site/87404",
"87405","NO89NE 38","Millbank","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned)","385793","799834","ABERDEENSHIRE","KINCARDINESHIRE","MARYCULTER","NO 85793 99834","http://canmore.org.uk/site/87405",
"87406","NO76NE 29","Lauriston Den","Enclosure (Period Unassigned)","376200","766200","ABERDEENSHIRE","KINCARDINESHIRE","ST CYRUS","NO 762 662","http://canmore.org.uk/site/87406",
"87407","NO76NE 30","Lauriston","Cropmark (Period Unknown)","376210","766870","ABERDEENSHIRE","KINCARDINESHIRE","ST CYRUS","NO 7621 6687","http://canmore.org.uk/site/87407",
"87410","NJ80SW 23","Maryculter Home Farm","Enclosure (Period Unassigned)(Possible)","384530","800140","ABERDEENSHIRE","KINCARDINESHIRE","MARYCULTER","NJ 8453 0014","http://canmore.org.uk/site/87410",
"87411","NO69NE 37","Aulton Farm","Souterrain(S) (Prehistoric)(Possible)","369570","795060","ABERDEENSHIRE","KINCARDINESHIRE","STRACHAN","NO 6957 9506","http://canmore.org.uk/site/87411",
"87412","NO69SE 19","Fountainhead","Enclosure (Period Unassigned)","369630","794850","ABERDEENSHIRE","KINCARDINESHIRE","STRACHAN","NO 6963 9485","http://canmore.org.uk/site/87412",
"87415","NJ23SW 5","Shank","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","324400","833550","MORAY","BANFFSHIRE","ABERLOUR","NJ 2440 3355","http://canmore.org.uk/site/87415",
"87416","NJ23SW 4","Newtown","Farmstead (Period Unassigned)","324980","832980","MORAY","BANFFSHIRE","ABERLOUR","NJ 2498 3298","http://canmore.org.uk/site/87416",
"87417","NJ36SE 40","Craighead Brae","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned)","337930","863740","MORAY","MORAYSHIRE","BELLIE","NJ 3793 6374","http://canmore.org.uk/site/87417",
"87419","NJ05NW 98","Knockomie","Ditch(S) (Period Unassigned), Enclosure (Period Unassigned)(Possible), Furnace(S) (Period Unassigned), Linear Feature(S) (Period Unassigned), Pit Alignment(S) (Prehistoric), Post Hole(S) (Period Unassigned), Ring Ditch (Period Unassigned), Settlement (Prehistoric)(Possible), Souterrain (Prehistoric), Rotary Quern(S), Saddle Quern, Slag(S), Vessel (Neolithic), Whetstone(S)","302600","857400","MORAY","MORAYSHIRE","FORRES","NJ 0260 5740","http://canmore.org.uk/site/87419",
"87420","NJ05NW 99","Knockomie","Enclosure (Period Unassigned)(Possible), Linear Feature(S) (Period Unassigned)","302610","857320","MORAY","MORAYSHIRE","FORRES","NJ 0261 5732","http://canmore.org.uk/site/87420",
"87422","NJ05NW 100","Sanquhar Mains","Cropmark (Period Unknown)","304000","856800","MORAY","MORAYSHIRE","FORRES","NJ 040 568","http://canmore.org.uk/site/87422",
"87433","NJ13NE 31","Parkhead Crofts","Building(S) (Period Unassigned), Farmstead (Period Unassigned)","319545","836477","MORAY","BANFFSHIRE","INVERAVON","NJ 19545 36477","http://canmore.org.uk/site/87433",
"87434","NJ13NE 32","Peterfair","Building(S) (Period Unassigned)","319300","837260","MORAY","BANFFSHIRE","INVERAVON","NJ 1930 3726","http://canmore.org.uk/site/87434",
"87435","NJ13NE 33","Coldwells","Building(S) (Period Unassigned)","319670","839080","MORAY","BANFFSHIRE","INVERAVON","NJ 1967 3908","http://canmore.org.uk/site/87435",
"87436","NJ13NE 34","Coldwells","Farmstead (Period Unassigned)","319850","839210","MORAY","BANFFSHIRE","INVERAVON","NJ 1985 3921","http://canmore.org.uk/site/87436",
"87437","NJ13NE 35","Croftintaggart","Building(S) (Period Unassigned), Farmstead (Period Unassigned)","315470","837820","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1547 3782","http://canmore.org.uk/site/87437",
"87438","NJ13NE 36","Glen Gheallaidh","Enclosure(S) (Period Unassigned)","315620","838370","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1562 3837","http://canmore.org.uk/site/87438",
"87439","NJ13NE 37","Glen Gheallaidh","Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned)","315740","838660","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1574 3866","http://canmore.org.uk/site/87439",
"87440","NJ13NE 38","Glen Gheallaidh","Farmstead (Period Unassigned)","315800","838870","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1580 3887","http://canmore.org.uk/site/87440",
"87441","NJ13NE 29","Glen Gheallaidh","Farmstead (Period Unassigned)","316110","838550","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1611 3855","http://canmore.org.uk/site/87441",
"87442","NJ13NE 30","Glen Gheallaidh","Building (Period Unassigned), Enclosure (Period Unassigned)","316330","838560","MORAY","MORAYSHIRE","KNOCKANDO","NJ 1633 3856","http://canmore.org.uk/site/87442",
"87443","NJ13SE 18","Shenval","Building (Period Unassigned), Enclosure (Period Unassigned)","317510","830930","MORAY","BANFFSHIRE","INVERAVON","NJ 1751 3093","http://canmore.org.uk/site/87443",
"87444","NJ13SE 19","Tomnabrilach","Farmstead (Period Unassigned), Mill(S) (Period Unassigned), Mill Dam (Period Unassigned)","317290","831150","MORAY","BANFFSHIRE","INVERAVON","NJ 1729 3115","http://canmore.org.uk/site/87444",
"87445","NJ13SE 17","Milltown Burn","Township (Period Unassigned)","317200","833200","MORAY","BANFFSHIRE","INVERAVON","NJ 172 332","http://canmore.org.uk/site/87445",
"87446","NJ13SE 16","Milltown Burn","Building (Period Unassigned)(Possible)","317180","833060","MORAY","BANFFSHIRE","INVERAVON","NJ 1718 3306","http://canmore.org.uk/site/87446",
"87447","NJ13SE 21","Sliaghnagairn","Farmstead (Period Unassigned)","317730","833060","MORAY","BANFFSHIRE","INVERAVON","NJ 1773 3306","http://canmore.org.uk/site/87447",
"87448","NJ13SE 20","Craig Balnafuaran","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","317570","832230","MORAY","BANFFSHIRE","INVERAVON","NJ 1757 3223","http://canmore.org.uk/site/87448",
"87450","NJ22NW 12","Allanreid","Building (Period Unassigned), Enclosure (Period Unassigned), Farmstead (Period Unassigned)","323380","825010","MORAY","BANFFSHIRE","INVERAVON","NJ 2338 2501","http://canmore.org.uk/site/87450",
"87451","NJ22NW 13","Easter Claggan","Farmstead (Period Unassigned)","322140","825930","MORAY","BANFFSHIRE","INVERAVON","NJ 2214 2593","http://canmore.org.uk/site/87451",
"87452","NJ22NW 14","Struan","Building (Period Unassigned)","321940","825820","MORAY","BANFFSHIRE","INVERAVON","NJ 2194 2582","http://canmore.org.uk/site/87452",
"87453","NJ22NW 5","Nevie Hill","Enclosure (Period Unassigned), House(S) (Period Unassigned)","321960","826380","MORAY","BANFFSHIRE","INVERAVON","NJ 2196 2638","http://canmore.org.uk/site/87453",
"87454","NJ22NW 6","Wester Claggan","Farmstead (Period Unassigned)","321680","826660","MORAY","BANFFSHIRE","INVERAVON","NJ 2168 2666","http://canmore.org.uk/site/87454",
"87455","NJ23SW 7","Hilltown","Farmstead (Period Unassigned)","321780","832140","MORAY","BANFFSHIRE","INVERAVON","NJ 2178 3214","http://canmore.org.uk/site/87455",
"87456","NJ23SW 8","Morinsh","Farmstead (Period Unassigned)","322981","831878","MORAY","BANFFSHIRE","INVERAVON","NJ 22981 31878","http://canmore.org.uk/site/87456",
"87457","NJ23SW 9","Morinsh","Farmstead (Period Unassigned)","323306","831898","MORAY","BANFFSHIRE","INVERAVON","NJ 23306 31898","http://canmore.org.uk/site/87457",
"87458","NJ23SW 6","Tomachar, Limekiln","Lime Kiln (Period Unassigned)","324690","832360","MORAY","BANFFSHIRE","INVERAVON","NJ 2469 3236","http://canmore.org.uk/site/87458",
"87459","NJ12SE 6","Croughly","Farmstead (Period Unassigned)","317600","820600","MORAY","BANFFSHIRE","KIRKMICHAEL (MORAY)","NJ 176 206","http://canmore.org.uk/site/87459",
"87466","NJ23SE 6","Achbreck, Limekiln","Lime Kiln (Period Unassigned)","329680","833820","MORAY","BANFFSHIRE","MORTLACH","NJ 2968 3382","http://canmore.org.uk/site/87466",
"87468","NJ23SE 8","Bellandy","Building(S) (Period Unassigned), Enclosure(S) (Period Unassigned)","329260","833260","MORAY","BANFFSHIRE","MORTLACH","NJ 2926 3326","http://canmore.org.uk/site/87468",
"87469","NJ23SE 9","Tomnagyloch","Building(S) (Period Unassigned), Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned)","328000","832900","MORAY","BANFFSHIRE","MORTLACH","NJ 280 329","http://canmore.org.uk/site/87469",
"87470","NJ23SE 10","Gallow Hill","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","327520","831960","MORAY","BANFFSHIRE","MORTLACH","NJ 2752 3196","http://canmore.org.uk/site/87470",
"87471","NJ23SE 11","Corryhabbie","Building(S) (Period Unassigned), Enclosure(S) (Period Unassigned)","328000","831700","MORAY","BANFFSHIRE","MORTLACH","NJ 280 317","http://canmore.org.uk/site/87471",
"87472","NJ23SE 12","Burn Of Altavallie","Farmstead (Period Unassigned), Lime Kiln (Period Unassigned)","328500","831700","MORAY","BANFFSHIRE","MORTLACH","NJ 285 317","http://canmore.org.uk/site/87472",
"87473","NJ23SE 14","Folds Of Corrhobbie","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","327460","831530","MORAY","BANFFSHIRE","MORTLACH","NJ 2746 3153","http://canmore.org.uk/site/87473",
"87477","NJ23SE 15","Corryhabbie","Building(S) (Period Unassigned), Enclosure (Period Unassigned), Sheepfold (Period Unassigned)","327680","831130","MORAY","BANFFSHIRE","MORTLACH","NJ 2768 3113","http://canmore.org.uk/site/87477",
"87478","NJ23SE 16","Gallow Hill","Building(S) (Period Unassigned)","327400","831700","MORAY","BANFFSHIRE","MORTLACH","NJ 274 317","http://canmore.org.uk/site/87478",
"87479","NJ23SE 17","Burn Of Corrieour","Building(S) (Period Unassigned)","328400","831500","MORAY","BANFFSHIRE","MORTLACH","NJ 284 315","http://canmore.org.uk/site/87479",
"87480","NJ23SE 18","Restocknach","Building(S) (Period Unassigned), Enclosure(S) (Period Unassigned)","325530","831650","MORAY","BANFFSHIRE","ABERLOUR","NJ 2553 3165","http://canmore.org.uk/site/87480",
"87481","NJ05NE 23","Lochyhill","Enclosure (Period Unassigned)","305400","859200","MORAY","MORAYSHIRE","RAFFORD","NJ 054 592","http://canmore.org.uk/site/87481",
"87482","NJ05NE 24","Cassieford","Cropmark (Period Unknown)","305500","859900","MORAY","MORAYSHIRE","RAFFORD","NJ 055 599","http://canmore.org.uk/site/87482",
"87483","NJ05NE 25","Tarras","Enclosure (Period Unassigned)(Possible), Structure (Period Unassigned)","306600","859700","MORAY","MORAYSHIRE","RAFFORD","NJ 066 597","http://canmore.org.uk/site/87483",
"87485","NJ46NE 29","Sunnybrae","Enclosure (Period Unassigned)(Possible)","346600","867400","MORAY","BANFFSHIRE","RATHVEN","NJ 466 674","http://canmore.org.uk/site/87485",
"87487","NJ46NE 30","Hillhead Of Portknockie","Enclosure (Period Unassigned)(Possible)","348150","868060","MORAY","BANFFSHIRE","RATHVEN","NJ 4815 6806","http://canmore.org.uk/site/87487",
"90497","NY37NW 15","Milltown","Lade (Period Unassigned), Mill (Period Unassigned)","333300","575300","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","CANONBIE","NY 333 753","http://canmore.org.uk/site/90497",
"106806","NJ20NW 1","Dunanfiew, Limekilns","Lime Kiln(S) (Period Unassigned)","323170","809540","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2317 0954","http://canmore.org.uk/site/106806",
"106807","NJ20NW 2","Badnabein, Limekiln","Lime Kiln (Period Unassigned)","323685","809537","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 23685 09537","http://canmore.org.uk/site/106807",
"106808","NJ20NW 3","Badnabein, Limekiln","Building (Period Unassigned), Lime Kiln (Period Unassigned)","324100","809650","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2410 0965","http://canmore.org.uk/site/106808",
"106810","NJ20NW 4","Loinherry, Limekiln","Lime Kiln (Period Unassigned)","324450","809460","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2445 0946","http://canmore.org.uk/site/106810",
"106811","NJ20NW 5","Inchmore","Building(S) (Period Unassigned)","321330","808610","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2133 0861","http://canmore.org.uk/site/106811",
"106812","NJ20NW 6","Inchmore","Building (Period Unassigned), Enclosure (Period Unassigned), Hut(S) (Period Unassigned)","321970","807640","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2197 0764","http://canmore.org.uk/site/106812",
"106813","NJ20NW 7","Inchmore","Building(S) (Period Unassigned)","321810","808580","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 2181 0858","http://canmore.org.uk/site/106813",
"106876","NJ30NE 5","East Chapelton","Township (Period Unassigned)","338700","808800","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3870 0880","http://canmore.org.uk/site/106876",
"106877","NJ30NE 6","Badnagoach","Enclosure(S) (Period Unassigned), Farmstead (Period Unassigned), House(S) (Period Unassigned), Lime Kiln (Period Unassigned)","338920","808670","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 3892 0867","http://canmore.org.uk/site/106877",
"106878","NJ30NE 7","Thornymuick","Cottage (Period Unassigned), Hut (Period Unassigned), Sheepfold(S) (Period Unassigned)","338590","808070","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 3859 0807","http://canmore.org.uk/site/106878",
"106879","NJ30NE 8","West Chapelton","Farmstead (Period Unassigned)","338350","808700","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3835 0870","http://canmore.org.uk/site/106879",
"106880","NJ30NE 9","Hillockhead, Limekiln","Lime Kiln (Period Unassigned)","338300","809270","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3830 0927","http://canmore.org.uk/site/106880",
"106881","NJ30NE 10","Tillyduke, Limekiln","Lime Kiln (19th Century)","338980","809940","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3898 0994","http://canmore.org.uk/site/106881",
"106883","NJ30NE 11","Braeside","Enclosure (Period Unassigned), Farmstead (Period Unassigned)","339600","809720","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3960 0972","http://canmore.org.uk/site/106883",
"106886","NJ31NW 7","Sluggie","Enclosure (Period Unassigned), Farmstead (Period Unassigned)","334920","819540","ABERDEENSHIRE","ABERDEENSHIRE","GLENBUCHAT","NJ 3492 1954","http://canmore.org.uk/site/106886",
"106887","NJ31NW 8","Corriemore","Farmstead (Period Unassigned)","333730","817680","ABERDEENSHIRE","ABERDEENSHIRE","GLENBUCHAT","NJ 3373 1768","http://canmore.org.uk/site/106887",
"106888","NJ31NW 9","Haugh","Farmstead (Period Unassigned), Lime Kiln (Period Unassigned)","332370","815470","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3237 1547","http://canmore.org.uk/site/106888",
"106890","NJ31NW 10","Nettie Burn","Cottage (Period Unassigned), Croft (Period Unassigned)","334760","815870","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3476 1587","http://canmore.org.uk/site/106890",
"106891","NJ31NW 11","Righorach, Glen Nochty","Farmstead (Period Unassigned)","330360","816320","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3036 1632","http://canmore.org.uk/site/106891",
"106893","NJ31NW 12","Duffdefiance","Farmstead (Period Unassigned)","330370","816650","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3037 1665","http://canmore.org.uk/site/106893",
"106894","NJ31NW 13","Duffdefiance, Glen Nochty","Sheepfold(S) (Period Unassigned)","330180","816670","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3018 1667","http://canmore.org.uk/site/106894",
"106895","NJ31NW 14","Tolduquhill, Limekiln","Lime Kiln (Period Unassigned)","331270","815250","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3127 1525","http://canmore.org.uk/site/106895",
"106896","NJ31SE 33","Coull Of Newe, Limekiln","Lime Kiln (Period Unassigned)","337140","812770","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3714 1277","http://canmore.org.uk/site/106896",
"106897","NJ31SE 34","Belnagauld, Limekiln","Lime Kiln (Period Unassigned)","335180","810070","ABERDEENSHIRE","ABERDEENSHIRE","STRATHDON","NJ 3518 1007","http://canmore.org.uk/site/106897",
"107441","NJ30SW 17","Ardoch","Township (Period Unassigned)","332100","800800","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 321 008","http://canmore.org.uk/site/107441",
"107442","NJ30SW 18","Ardoch, Limekiln","Lime Kiln (Period Unassigned)","331940","800790","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3194 0079","http://canmore.org.uk/site/107442",
"107444","NJ30SW 20","Lary","Township (Period Unassigned)","333610","800340","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3361 0034","http://canmore.org.uk/site/107444",
"107445","NJ30SW 21","Lary Burn","Building(S) (Period Unassigned)","334350","801650","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3435 0165","http://canmore.org.uk/site/107445",
"107446","NJ30SW 22","Glen Fenzie","Farmstead (Period Unassigned), Sheepfold (Period Unassigned)","331700","802600","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 317 026","http://canmore.org.uk/site/107446",
"107447","NJ30SW 23","Glen Fenzie","Farmstead (Period Unassigned)","332000","803150","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3200 0315","http://canmore.org.uk/site/107447",
"107448","NJ30SW 24","Glenfenzie","Farmstead (Period Unassigned), Lime Kiln (Period Unassigned), Sheepfold (Period Unassigned)","331640","802900","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3164 0290","http://canmore.org.uk/site/107448",
"107449","NJ30SW 60","Shenval","Township (Period Unassigned)","330500","801700","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 305 017","http://canmore.org.uk/site/107449",
"107450","NJ30SW 25","Stranlea, Limekiln","Lime Kiln (Period Unassigned)","331140","800680","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 3114 0068","http://canmore.org.uk/site/107450",
"117663","NJ21NW 17","Crofts Of Scalan","Farmstead (Period Unassigned)","323760","819950","MORAY","BANFFSHIRE","INVERAVON","NJ 2376 1995","http://canmore.org.uk/site/117663",
"117664","NJ21NW 18","Crofts Of Scalan","Farmstead (Period Unassigned)","323930","819830","MORAY","BANFFSHIRE","INVERAVON","NJ 2393 1983","http://canmore.org.uk/site/117664",
"117665","NJ21NW 19","Crofts Of Scalan","Farmstead (Period Unassigned)","324410","819840","MORAY","BANFFSHIRE","INVERAVON","NJ 2441 1984","http://canmore.org.uk/site/117665",
"117666","NJ21NW 20","Crofts Of Scalan","Farmstead (Period Unassigned)","324620","819980","MORAY","BANFFSHIRE","INVERAVON","NJ 2462 1998","http://canmore.org.uk/site/117666",
"117668","NJ21NW 211","Scalan, South Steading","Enclosure (Period Unassigned), Graffiti(S) (19-20th Century), Threshing Machine (20th Century), Watermill (19th Century)","324632","819427","MORAY","BANFFSHIRE","INVERAVON","NJ 24632 19427","http://canmore.org.uk/site/117668",
"117670","NJ21NW 22","Scalan","Building (Period Unassigned)","324940","819180","MORAY","BANFFSHIRE","INVERAVON","NJ 2494 1918","http://canmore.org.uk/site/117670",
"117671","NJ21NW 23","Wester Scalan","Farmstead (Period Unassigned)","324220","818930","MORAY","BANFFSHIRE","INVERAVON","NJ 2422 1893","http://canmore.org.uk/site/117671",
"117673","NJ21NW 24","Culantuim","Farmstead (Period Unassigned)","322730","819980","MORAY","BANFFSHIRE","INVERAVON","NJ 2273 1998","http://canmore.org.uk/site/117673",
"117674","NJ21NW 25","Lynavoir","House (Period Unassigned)","321040","816860","MORAY","BANFFSHIRE","KIRKMICHAEL (MORAY)","NJ 2104 1686","http://canmore.org.uk/site/117674",
"117678","NJ23SE 20","Black Hillock","Farmstead (Period Unassigned)(Possible), Rig And Furrow (Medieval)","329650","833670","MORAY","BANFFSHIRE","MORTLACH","NJ 2965 3367","http://canmore.org.uk/site/117678",
"117679","NJ23SE 21","Achbreck","House(S) (Period Unassigned)","329780","833960","MORAY","BANFFSHIRE","MORTLACH","NJ 2978 3396","http://canmore.org.uk/site/117679",
"117681","NJ23SE 23","Achlochrach","Enclosure (Period Unassigned), House (Period Unassigned)","329360","834230","MORAY","BANFFSHIRE","MORTLACH","NJ 2936 3423","http://canmore.org.uk/site/117681",
"117749","NJ34NW 6","Ardoch","Building (Period Unassigned)","334360","848110","MORAY","BANFFSHIRE","BOHARM","NJ 3436 4811","http://canmore.org.uk/site/117749",
"117751","NJ34NW 8","Dalmore","Building (Period Unassigned), Enclosure (Period Unassigned)","333950","847710","MORAY","BANFFSHIRE","BOHARM","NJ 3395 4771","http://canmore.org.uk/site/117751",
"117752","NJ34NE 6","Rosarie Wood","Building(S) (Period Unassigned), House (Period Unassigned)","339240","849910","MORAY","BANFFSHIRE","KEITH","NJ 3924 4991","http://canmore.org.uk/site/117752",
"117753","NJ34NE 7","Rosarie Wood","Building (Period Unassigned)","338840","849380","MORAY","BANFFSHIRE","KEITH","NJ 3884 4938","http://canmore.org.uk/site/117753",
"117754","NJ34NE 8","Bodinfinnoch","Dam (Period Unassigned), Farmstead (Period Unassigned), Mill (Period Unassigned)","337810","848570","MORAY","BANFFSHIRE","KEITH","NJ 3781 4857","http://canmore.org.uk/site/117754",
"117756","NJ34NE 10","Broadrashes","Farmstead (Period Unassigned)","337380","847850","MORAY","BANFFSHIRE","BOTRIPHNIE","NJ 3738 4785","http://canmore.org.uk/site/117756",
"117757","NJ34NE 11","Broadrashes","Farmstead (Period Unassigned)","337170","847750","MORAY","BANFFSHIRE","BOTRIPHNIE","NJ 3717 4775","http://canmore.org.uk/site/117757",
"117758","NJ34NE 12","Cabbachs","Building(S) (Period Unassigned), Enclosure(S) (Period Unassigned), Pond (Period Unassigned)","336810","848620","MORAY","BANFFSHIRE","BOTRIPHNIE","NJ 3681 4862","http://canmore.org.uk/site/117758",
"117759","NJ34NE 13","Curlusk","Farmstead (Period Unassigned)","335980","848530","MORAY","BANFFSHIRE","BOHARM","NJ 3598 4853","http://canmore.org.uk/site/117759",
"117761","NJ34NE 15","Rosarie Wood","Farmstead (Period Unassigned)","338710","849560","MORAY","BANFFSHIRE","KEITH","NJ 3871 4956","http://canmore.org.uk/site/117761",
"117762","NJ34NE 16","Rosarie Wood","Building (Period Unassigned)","338820","849790","MORAY","BANFFSHIRE","KEITH","NJ 3882 4979","http://canmore.org.uk/site/117762",
"121575","NJ16NE 55","Duffus","Cropmark(S) (Period Unknown), Enclosure(S) (Period Unassigned)","317000","868450","MORAY","MORAYSHIRE","DUFFUS","NJ 1700 6845","http://canmore.org.uk/site/121575",
"121578","NJ16NE 56","Duffus","Cropmark(S) (Period Unknown), Enclosure(S) (Period Unassigned)(Possible)","317100","868200","MORAY","MORAYSHIRE","DUFFUS","NJ 1710 6820","http://canmore.org.uk/site/121578",
